Wall time,Step,Value
1678317163.9577105,70000,1197.1201171875
1678317360.8638492,200000,1190.278076171875
1678317461.7961583,260000,1194.7149658203125
1678317729.9943562,430000,1190.8101806640625
1678317755.3828766,450000,1190.576171875
1678317803.269632,480000,1189.829833984375
1678317837.9347532,500000,1188.1497802734375
1678317926.2089517,560000,1189.1939697265625
1678317972.2494204,590000,1190.3358154296875
1678318209.8845193,740000,1199.6407470703125
1678318252.7554069,770000,1198.0806884765625
1678318341.2545564,820000,1200.1424560546875
1678318461.1816628,900000,1209.44140625
1678318571.6197731,970000,1208.0897216796875
1678318698.7143166,1050000,1224.1519775390625
1678318746.5351372,1080000,1229.64208984375
1678318759.7826836,1090000,1230.666259765625
1678318865.6668293,1160000,1234.5496826171875
1678319075.5933077,1290000,1241.8665771484375
1678319281.7754204,1420000,1282.391357421875
1678319465.6251736,1530000,1300.6558837890625
1678319549.833034,1580000,1322.6466064453125
1678319608.0249605,1610000,1335.098876953125
1678319758.2071497,1700000,1355.91015625
1678319778.8506486,1710000,1353.02001953125
1678319949.8099215,1810000,1356.2486572265625
1678320041.0784118,1860000,1374.729248046875
1678320076.7107842,1880000,1373.3162841796875
1678320093.4366596,1890000,1384.3729248046875
1678320161.7320824,1930000,1385.95068359375
1678320304.1809537,2010000,1423.6568603515625
1678320443.8558948,2090000,1433.377197265625
1678320460.3041692,2100000,1430.5504150390625
1678320549.2686794,2150000,1426.2825927734375
1678320739.4727054,2260000,1423.36474609375
1678320845.8253021,2320000,1433.113525390625
1678320930.9552104,2370000,1431.4774169921875
1678320985.3239927,2400000,1466.815673828125
1678321196.6288276,2520000,1447.041748046875
1678321301.831908,2580000,1455.9779052734375
1678321387.970363,2630000,1488.327392578125
1678321512.5341537,2700000,1482.6484375
1678321579.1537857,2740000,1480.3553466796875
1678321614.657225,2760000,1477.5933837890625
1678321971.8907487,2950000,1494.1654052734375
1678322064.9620848,3000000,1502.5584716796875
1678322086.979936,3010000,1507.83837890625
1678322178.400759,3060000,1529.911376953125
1678322269.2323222,3110000,1531.814697265625
1678322304.3633137,3130000,1528.654296875
1678322450.392498,3210000,1521.821044921875
1678322470.3902209,3220000,1517.6246337890625
1678322596.076398,3290000,1486.203857421875
1678322668.2076023,3330000,1510.699462890625
1678322832.3906016,3420000,1524.755615234375
1678322983.9468043,3500000,1522.6361083984375
1678323439.3046963,3660000,1529.508056640625
1678323487.5097044,3700000,1521.1136474609375
1678323603.0378354,3760000,1520.7247314453125
1678323653.0521455,3800000,1519.4853515625
1678323677.243967,3820000,1513.26708984375
1678324223.1255975,4240000,1517.505615234375
1678324238.5662744,4250000,1517.6368408203125
1678324264.549093,4270000,1519.9571533203125
1678324339.7817988,4330000,1548.212890625
1678324454.614426,4420000,1538.441650390625
1678324478.8277397,4440000,1542.35205078125
1678324491.1243489,4450000,1539.470458984375
1678324529.803732,4480000,1526.13134765625
1678324606.1025748,4540000,1540.0101318359375
1678324714.5444384,4630000,1537.1180419921875
1678324750.35624,4660000,1555.9443359375
1678324764.0507967,4670000,1556.8507080078125
1678324891.746113,4770000,1547.3643798828125
1678325096.5076928,4940000,1558.7486572265625
1678325121.383428,4960000,1558.2900390625
1678325297.785941,5100000,1545.5753173828125
1678325356.3373573,5150000,1559.1837158203125
1678325379.9803991,5170000,1562.6295166015625
1678325419.7506025,5200000,1568.7677001953125
1678325519.4199016,5280000,1563.031982421875
1678325590.0557919,5340000,1574.01318359375
1678325614.7361917,5360000,1571.33544921875
1678325653.144501,5390000,1567.29150390625
1678325725.9184244,5450000,1581.6650390625
1678325788.5900276,5500000,1589.3919677734375
1678325909.281225,5600000,1580.01025390625
1678325981.7931232,5660000,1571.353515625
1678326059.3268394,5720000,1567.483154296875
1678326105.4089584,5760000,1571.8736572265625
1678326177.286808,5820000,1573.557861328125
1678326198.470986,5840000,1567.7950439453125
1678326208.4880555,5850000,1572.093994140625
1678326231.0943365,5870000,1574.9903564453125
1678326258.6790965,5890000,1573.3551025390625
1678326271.593554,5900000,1577.269775390625
1678326329.7729313,5950000,1576.284912109375
1678326342.2502434,5960000,1574.3270263671875
1678326446.255615,6050000,1571.2542724609375
1678326521.6138148,6110000,1569.380126953125
1678326546.8218834,6130000,1563.3165283203125
1678326603.0472238,6180000,1569.3048095703125
1678326663.9179263,6230000,1564.454833984375
1678326688.2517545,6250000,1565.08251953125
1678326833.1776743,6370000,1591.7880859375
1678326918.7673237,6440000,1574.5323486328125
1678326928.6155584,6450000,1583.6905517578125
1678326954.2431614,6470000,1584.7542724609375
1678326982.3365371,6490000,1588.2896728515625
1678326997.1403444,6500000,1591.6895751953125
1678327020.3062668,6520000,1588.4337158203125
1678327156.1478546,6640000,1571.871826171875
1678327193.545509,6670000,1565.645263671875
1678327245.214747,6710000,1576.1103515625
1678327277.3271363,6740000,1572.3922119140625
1678327314.6152632,6770000,1568.2890625
1678327360.272146,6810000,1572.5001220703125
1678327368.7659082,6820000,1573.046630859375
1678327414.69551,6860000,1561.74462890625
1678327477.125757,6910000,1559.25
1678327601.3571107,7020000,1571.8455810546875
1678327647.0125823,7060000,1570.552490234375
1678327684.4478781,7090000,1579.2880859375
1678327780.373001,7170000,1569.4949951171875
1678327827.5902488,7210000,1578.3759765625
1678327865.3263798,7240000,1582.15576171875
1678327874.2835252,7250000,1587.873779296875
1678327887.4842918,7260000,1591.3160400390625
1678327976.3260717,7330000,1579.96923828125
1678328050.7159903,7390000,1583.41455078125
1678328074.9544067,7410000,1575.3052978515625
1678328084.2899573,7420000,1569.5938720703125
1678328133.8722057,7460000,1583.05322265625
1678328187.1432564,7500000,1592.5020751953125
1678328237.1186492,7540000,1587.755126953125
1678328251.6134257,7550000,1582.0609130859375
1678328300.0823493,7590000,1590.560302734375
1678328404.1082187,7680000,1571.1575927734375
1678328456.686924,7720000,1573.5921630859375
1678328466.8455844,7730000,1578.771728515625
1678328480.4564767,7740000,1578.009765625
1678328506.3459742,7760000,1578.8797607421875
1678328516.1418164,7770000,1572.8297119140625
1678328592.262822,7830000,1592.5692138671875
1678328637.8385603,7870000,1591.76904296875
1678328651.2336185,7880000,1590.6385498046875
1678328678.4656389,7900000,1580.8717041015625
1678328701.8977792,7920000,1586.88134765625
1678328733.229021,7950000,1592.6466064453125
1678328748.3202362,7960000,1592.68798828125
1678328756.8047507,7970000,1590.1453857421875
1678328764.93769,7980000,1587.422607421875
1678328801.3455365,8010000,1586.734130859375
1678328846.7980144,8050000,1610.2789306640625
1678328905.772887,8100000,1596.1405029296875
1678328919.74417,8110000,1591.7210693359375
1678328928.8229637,8120000,1590.6868896484375
1678328997.3026836,8180000,1589.03564453125
1678329191.9479659,8350000,1589.5618896484375
1678329238.7529948,8390000,1571.116455078125
1678329261.5915112,8410000,1570.90869140625
1678329320.7282429,8460000,1586.1964111328125
1678329598.2537768,8700000,1615.238525390625
1678329619.9937084,8720000,1617.61669921875
1678329680.740911,8770000,1597.387451171875
1678329703.0364194,8790000,1582.68798828125
1678329749.2315252,8830000,1601.7303466796875
1678329771.4876375,8850000,1605.4405517578125
1678329867.1985703,8930000,1599.822265625
1678329932.1742282,8990000,1584.9453125
1678329981.2282407,9030000,1598.22021484375
1678330065.5282276,9100000,1606.232666015625
1678330087.8761835,9120000,1600.0572509765625
1678330157.0091338,9180000,1612.7967529296875
1678330178.8071818,9200000,1594.1092529296875
1678330211.7468317,9230000,1589.184814453125
1678330248.897158,9260000,1582.6826171875
